who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
23208057,,,,,,,,,0
23208057,National Reserve Bank of Tonga,Governor of National Reserve Bank of Tonga,2013-08-21,2022-10-10,Siosi Cocker Mafi,Siosi Cocker Mafi,,,1
