who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
64337890,,,,,,,,,0
64337890,,Minister for Fisheries,2021-12-28,,Q3567558,Lord Tuʻilakepa,,,1
64337890,,,2014-12-30,2019-10-10,Q7525391,Sangster Saulala,Q3567558,Lord Tuʻilakepa,2
64337890,,"Minister for Agriculture, Food, and Forests",2014-12-30,2019-01-23,Q7525391,Sangster Saulala,Q55238056,Losaline Ma'asi,3
64337890,Tongatapu 8,MP for Tongatapu 8,2014-11-27,,Q7525392,Sione Taione,,,4
