who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
393860,,,,,,,,,0
393860,,,,,Q227716,George Tupou V,Tupoutoʻa ʻUlukalala,Tupoutoʻa ʻUlukalala,1
393860,,,,,Q808685,Baron Vaea,Q319953,Feleti Sevele,2
393860,,,,,,,,,3
